Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Fix,Letter
1665800968.5058358,0,8970,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800969.5166903,0,8971,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800970.507944,0,8972,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800971.5236883,0,8973,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800972.5155785,0,8974,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800973.521005,0,8975,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800974.5086656,0,8976,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800975.5282323,0,8977,0,GPS1_Frame,42.364740166666664,-71.0651425,12.100000381469727,329946.53067110456,4692339.787726203,19,4,T
1665800976.5145817,0,8978,0,GPS1_Frame,42.364740166666664,-71.0651425,12.100000381469727,329946.53067110456,4692339.787726203,19,4,T
1665800977.5192695,0,8978,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800978.5158324,0,8980,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800979.5346286,0,8981,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800980.5226634,0,8981,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800981.503842,0,8983,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800982.5213056,0,8984,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800983.5194764,0,8984,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800984.5257008,0,8986,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800985.5157402,0,8987,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800986.535226,0,8987,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800987.5157998,0,8989,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800988.5315816,0,8990,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800989.5207138,0,8991,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800990.5282264,0,8992,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800991.5398684,0,8993,0,GPS1_Frame,42.36474,-71.0651425,12.100000381469727,329946.53022141044,4692339.769219088,19,4,T
1665800992.5373473,0,8994,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800993.526769,0,8995,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665800994.5340452,0,8996,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800995.537264,0,8997,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800996.5276327,0,8998,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800997.5263119,0,8999,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800998.5300112,0,8940,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665800999.519804,0,9001,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801000.5333781,0,9002,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801001.5305884,0,9003,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801002.5427375,0,9004,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665801003.5356193,0,9005,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801004.5207715,0,9006,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801005.5261292,0,9007,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801006.5299852,0,9008,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801007.5538664,0,9009,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801008.555405,0,9010,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801009.5386355,0,9011,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801010.5339725,0,9012,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801011.5291986,0,9013,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665801012.5376697,0,9013,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665801013.5338712,0,9015,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.100000381469727,329946.5443957689,4692339.787392715,19,4,T
1665801014.5258427,0,9016,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801015.5364316,0,9016,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801016.5571022,0,9018,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801017.533299,0,9019,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801018.5408063,0,9019,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801019.5498772,0,9021,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801020.5563567,0,9022,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801021.5479198,0,9022,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801022.5472896,0,9024,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801023.5408068,0,9025,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801024.5528574,0,9026,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801025.5398064,0,9027,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801026.5377798,0,9028,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801027.5581028,0,9029,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
1665801028.5508704,0,9030,0,GPS1_Frame,42.36474,-71.06514233333334,12.100000381469727,329946.5439460748,4692339.768885601,19,4,T
