Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,GNSS_fix_quality
1665805059.1224642,0,13059,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665805060.0972726,0,13060,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665805061.1181364,0,13061,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665805062.0919354,0,13062,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805063.1029055,0,13063,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665805064.099454,0,13064,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805065.1094275,0,13065,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805066.09836,0,13066,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805067.1119986,0,13067,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805068.1047945,0,13068,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805069.119336,0,13069,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805070.0930831,0,13070,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805071.1091,0,13071,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805072.105617,0,13072,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805073.1206026,0,13073,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
